#,用户,电子邮件,学校,名称,学号,总分数,#1 「yyOI R2」youyou 的垃圾桶,#2 「yyOI R2」youyou 不喜欢夏天,#3 「yyOI R2」youyou 的序列 II,#4 「yyOI R2」youyou 的三进制数
128,SunsetVoice,rTITgbxqYSx5@hydro.local,,SunsetVoice,,75,55,20,0,-
131,lijunxi20231818,lHUcmM0h3pIN@hydro.local,,lijunxi20231818,,70,70,-,-,-
131,shuqiang,vfVPb3yf6xWl@hydro.local,,shuqiang,,70,70,-,-,-
131,xrr_saikou,nuyYu1Dq9Fz1@hydro.local,,xrr_saikou,,70,70,-,-,-
131,Taoyao_sad,EOpWQZDDdWrF@hydro.local,,Taoyao_sad,,70,70,-,-,-
131,ZBWAA,03irWVCwA5rB@hydro.local,,ZBWAA,,70,70,-,-,-
131,cybrex,kbrkCzGxK3ju@hydro.local,,cybrex,,70,70,-,0,-
131,AZYDLL,piCmAl6pfYBo@hydro.local,,AZYDLL,,70,70,-,-,-
131,Sundar_2022,JZLRwZAUDaC2@hydro.local,,Sundar_2022,,70,70,-,-,-
131,zfxvexl,wEsFtqmhOtxx@hydro.local,,zfxvexl,,70,70,-,-,-
131,shicj,WpnfKWiwZ6lk@hydro.local,,shicj,,70,70,0,-,-
131,laoliu123,0d9wONCzkVsA@hydro.local,,laoliu123,,70,70,0,-,-
131,pangharry,ffkjd7T5Dtil@hydro.local,,pangharry,,70,70,0,-,0
131,菲斯斯夫斯基,FXuDQykVEIHv@hydro.local,,菲斯斯夫斯基,,70,70,-,-,-
131,wangxinhe,Laxt1gGw7eo5@hydro.local,,wangxinhe,,70,70,-,-,-
131,fnoihzhyan,qgd2hs745VR8@hydro.local,,fnoihzhyan,,70,70,-,-,-
131,jimmy,HMt5dFlgbHJk@hydro.local,,jimmy,,70,70,-,-,-
147,Tracy_Loght,64sW8o6jtrxa@hydro.local,,Tracy_Loght,,68,60,8,-,-
148,Maojin521,6llf6Vq7Q1RF@hydro.local,,Maojin521,,65,65,-,-,-
148,vanueber,pdD57rFUaQ3w@hydro.local,,vanueber,,65,65,-,-,-
148,QWERTY770,Exy6ew95nxy4@hydro.local,,QWERTY770,,65,60,0,5,-
148,dongzirui0817,UIGN8U57wEXi@hydro.local,,dongzirui0817,,65,45,-,20,-
152,明俊逸,xpCaKQdTvDTL@hydro.local,,明俊逸,,60,60,-,-,-
152,1234567ph,SSePmgabJKip@hydro.local,,1234567ph,,60,60,-,-,-
152,tbdsh,8yUfVhz9jDHO@hydro.local,,tbdsh,,60,60,-,-,-
152,r1325,HtqlbD4LvbTH@hydro.local,,r1325,,60,60,-,-,-
152,wsxtpbl,dSjaPcYcyc88@hydro.local,,wsxtpbl,,60,60,0,-,-
152,songziyu,l8fIeRai2ka7@hydro.local,,songziyu,,60,60,-,-,-
152,0123,FykK8Vr1S5sb@hydro.local,,0123,,60,60,-,-,-
152,Frisius,C23xN1iwjAPj@hydro.local,,Frisius,,60,60,-,-,-
152,Wonder_Fun,uki1ALMZ6Arm@hydro.local,,Wonder_Fun,,60,60,0,-,-
152,xhz,UbxqgEBsHWtC@hydro.local,,xhz,,60,60,-,-,-
152,添哥,GRWtdRYsdc56@hydro.local,,添哥,,60,60,-,-,-
152,GalenoJiao,WKInlpMLdntz@hydro.local,,GalenoJiao,,60,60,-,-,-
152,元初,afO9MSWWKCTx@hydro.local,,元初,,60,60,-,-,-
165,wanglongye,vEszoGbsXHvY@hydro.local,,wanglongye,,56,0,56,-,-
166,wsx10,kXggyF5owfe2@hydro.local,,wsx10,,55,35,0,20,0
167,Razer_Sun,ldEyEzRLjTxE@hydro.local,,Razer_Sun,,53,45,8,0,-
167,Xu.,5QMgNfFMMJ6u@hydro.local,,Xu.,,53,45,-,-,8
169,yingxilin,Ez88nzGmn5Ga@hydro.local,,yingxilin,,50,50,-,-,-
169,flyingfrog,gegJGx1pHowd@hydro.local,,flyingfrog,,50,50,-,-,-
169,caoruiqi,oH8NMJQeXOmS@hydro.local,,caoruiqi,,50,50,-,0,-
169,Rainypaster,GGO2We6hnZOR@hydro.local,,Rainypaster,,50,50,-,-,-
173,hzt,Tc5VOT2vfYYg@hydro.local,,hzt,,49,45,4,0,-
174,gcomplex,OrMDrvwwvdmb@hydro.local,,gcomplex,,45,45,-,0,-
174,zezechoicec,UYnWoJAGEtgV@hydro.local,,zezechoicec,,45,45,-,0,-
174,zzx2024,qAzSS6fVHTJb@hydro.local,,zzx2024,,45,45,0,-,-
174,Soulwind,BamqMAUT6My9@hydro.local,,Soulwind,,45,45,-,-,-
174,小孙stream,gApXgf2IA28n@hydro.local,,小孙stream,,45,45,-,0,-
174,Robinlee19,yILhIK6QY57M@hydro.local,,Robinlee19,,45,45,-,-,-
174,suyihang,naxZHoMgGsmK@hydro.local,,suyihang,,45,45,-,-,-
181,牛气冲天,VZcTtSmBq3o0@hydro.local,,牛气冲天,,35,35,-,0,-
181,hongshizzc,Rem9bN7bAvI4@hydro.local,,hongshizzc,,35,35,-,0,0
181,AmazingZhan,CWoriQiqtQJH@hydro.local,,AmazingZhan,,35,35,-,-,-
181,AC_Boy,1oG5hZyZjYeh@hydro.local,,AC_Boy,,35,35,0,-,-
181,jjy2023,pwmAzMcts9iG@hydro.local,,jjy2023,,35,35,-,-,-
186,lihugang,b6D7M0dUY6so@hydro.local,,lihugang,,30,30,-,-,-
187,Xalfz_,z5cDwn8gEkd0@hydro.local,,Xalfz_,,28,20,8,0,0
187,Link_1314,JlO6REJQwuae@hydro.local,,Link_1314,,28,20,8,-,-
189,yujinning,VN03BpL4XZEJ@hydro.local,,yujinning,,25,25,0,-,-
190,sdjjdjdjdjd,ib0FzhfkMkda@hydro.local,,sdjjdjdjdjd,,20,20,-,-,-
190,张家安,ZvKJmd9N23yK@hydro.local,,张家安,,20,20,-,-,-
190,hejinming2012,wzmPTUAf3MOn@hydro.local,,hejinming2012,,20,20,-,-,-
190,chenlh,x2TpvpiYJ7Py@hydro.local,,chenlh,,20,20,0,0,-
190,WoodReal12,hIZg7QlDr2e1@hydro.local,,WoodReal12,,20,20,-,-,-
190,zhaohanwen,aajFKv1SMaSP@hydro.local,,zhaohanwen,,20,20,-,-,-
190,Fan1K_,n58np88VUCk8@hydro.local,,Fan1K_,,20,20,0,-,-
190,Yun0307,YDsoI23Nfczu@hydro.local,,Yun0307,,20,20,0,0,0
190,CodeRe,tZWHWftSP8sr@hydro.local,,CodeRe,,20,20,-,-,-
190,eason,bRBkYF9Sb2BC@hydro.local,,eason,,20,20,-,-,-
190,227315,r00slqdUdXZO@hydro.local,,227315,,20,20,-,-,-
190,MXY123456,xl1M3ysorNdw@hydro.local,,MXY123456,,20,0,-,20,-
190,iaKouhZ,qj87PmsIfEo4@hydro.local,,iaKouhZ,,20,20,-,-,-
190,xhhhhh,JaqZ0Ug85ooi@hydro.local,,xhhhhh,,20,20,-,-,-
190,Kalvin_Han,NAubjJVczKPm@hydro.local,,Kalvin_Han,,20,20,-,-,-
205,H_ice,tx4ioPbBjutM@hydro.local,,H_ice,,8,0,8,-,-
206,NOI-MRA-4067,Kr9mnmdwjEa4@hydro.local,,NOI-MRA-4067,,0,0,-,-,-
206,Li_Yichen,MFurSm1XliJx@hydro.local,,Li_Yichen,,0,0,0,0,-
206,[datadeleted],GhBNHUySRfBS@hydro.local,,[datadeleted],,0,0,-,0,-
206,LCYlcyLCYlcy,jzswoTWwyssG@hydro.local,,LCYlcyLCYlcy,,0,0,-,-,-
206,李简ACE,WBcpjNLJBJDA@hydro.local,,李简ACE,,0,0,0,0,0
206,吴宗恩,lFYhMgGHcwK5@hydro.local,,吴宗恩,,0,0,0,0,0
206,qiuqiu1231,LJunMyXaXq1b@hydro.local,,qiuqiu1231,,0,0,0,0,0
206,罗辰烨,bcnpk8yaZH3M@hydro.local,,罗辰烨,,0,0,-,-,-
206,ZihanHu,HkwnZlpldZUy@hydro.local,,ZihanHu,,0,0,-,-,-
206,LMIN,5pofSIxNh6DD@hydro.local,,LMIN,,0,0,-,-,-
206,_zml,2PeRblZ5Ad8k@hydro.local,,_zml,,0,0,-,-,-
206,NOI-MRB-6114,eHAAXV1P69WC@hydro.local,,NOI-MRB-6114,,0,0,-,-,-
206,xjdhks,fAswdcjHwrdc@hydro.local,,xjdhks,,0,0,0,-,-
206,G0ulanz1,lf6s241tcG6b@hydro.local,,G0ulanz1,,0,0,-,-,-
206,Zinuo_zheng,rZTycReYDfA8@hydro.local,,Zinuo_zheng,,0,0,0,-,-
206,NOI-MRB-6038,QzaOpzyvCQjP@hydro.local,,NOI-MRB-6038,,0,0,-,-,-
206,We_ber,CJQFVozxfLzW@hydro.local,,We_ber,,0,0,0,0,0
206,RunLing,wkRA0Q0BpTDx@hydro.local,,RunLing,,0,0,-,-,-
206,yhlj24444,5GU1NLR8ikao@hydro.local,,yhlj24444,,0,0,-,-,-
206,cheatme,lTAi7ALz0Isw@hydro.local,,cheatme,,0,0,-,-,-
206,SLMXF,fate4UEZPC45@hydro.local,,SLMXF,,0,0,-,-,-
206,山河,W09K3xxMFDOW@hydro.local,,山河,,0,0,-,-,-
206,water.leaf,3u382weMDQ6A@hydro.local,,water.leaf,,0,0,-,-,-
206,Solar_Rain,Dw1E4JOUc50K@hydro.local,,Solar_Rain,,0,0,-,-,-
206,c__,s8stHKYh1XHM@hydro.local,,c__,,0,0,-,-,-
206,jiangjiangQwQ,d3mHuuhS32HV@hydro.local,,jiangjiangQwQ,,0,0,-,-,-
206,Cidoai,3Yt55znrQdVg@hydro.local,,Cidoai,,0,0,-,-,-
206,邵小航,d5iYGwGsnTZb@hydro.local,,邵小航,,0,0,0,-,0
206,zlw,CCx51dUb3TqG@hydro.local,,zlw,,0,0,-,-,-
206,liuqichen121,NvndxFJUVAuO@hydro.local,,liuqichen121,,0,0,-,-,-
206,chenyiyang123,SYHWIqZDdN95@hydro.local,,chenyiyang123,,0,0,0,0,0
206,selim,tcEucuqk826u@hydro.local,,selim,,0,0,-,0,-
206,xxx,B47gPYa4MOJJ@hydro.local,,xxx,,0,0,-,0,-
206,liuli688,t3iOHT7xRh2D@hydro.local,,liuli688,,0,0,0,-,-
206,chenaex,hcJUNP1puWSj@hydro.local,,chenaex,,0,0,-,-,-
206,6665723,SQOSVtxkBRtz@hydro.local,,6665723,,0,0,-,-,-
206,Zzx135,ZYt8lSONW9cE@hydro.local,,Zzx135,,0,0,-,-,-
206,Know_Wind,pyWaDSASs4lH@hydro.local,,Know_Wind,,0,0,0,-,-
206,凌绝,kBW9L30FdSr9@hydro.local,,凌绝,,0,-,-,0,-
206,Dreeick,NQKAgWscYDhs@hydro.local,,Dreeick,,0,0,-,-,-
206,wzhqwq,YAiYbOxaM1RX@hydro.local,,wzhqwq,,0,0,-,-,-
206,yzc001,g2LNylB8Cwhi@hydro.local,,yzc001,,0,0,-,-,-
206,caohaoran,4GFFDgYbm2o6@hydro.local,,caohaoran,,0,0,-,-,-
206,coreyyp,bcgR6A9znDeE@hydro.local,,coreyyp,,0,-,-,0,-
206,quyuan,iB395EUK0ImP@hydro.local,,quyuan,,0,0,-,-,-
251,Yurz,XZPCn4BJrxjE@hydro.local,,Yurz,,0,-,-,-,-
251,IKUNYL,WMuzzrTbtE8l@hydro.local,,IKUNYL,,0,-,-,-,-
251,HashHacker_Peas,T5iJYoafGQqI@hydro.local,,HashHacker_Peas,,0,-,-,-,-
251,dzx114514,HX6ofjdkrb65@hydro.local,,dzx114514,,0,-,-,-,-
251,史睿其,Rs3OhoiqNvVU@hydro.local,,史睿其,,0,-,-,-,-
251,hanyixuanten,wDfMf7UltqgQ@hydro.local,,hanyixuanten,,0,-,-,-,-
251,czx666,dVwnudZNe4uU@hydro.local,,czx666,,0,-,-,-,-
251,Binary_Tree_,OdmXmOexVbgI@hydro.local,,Binary_Tree_,,0,-,-,-,-
251,AMlhd,K9h6AJYz1P0z@hydro.local,,AMlhd,,0,-,-,-,-
251,yjq,RNC3D9OAPgc1@hydro.local,,yjq,,0,-,-,-,-
251,Panyang,XeXHV5xEZ5YG@hydro.local,,Panyang,,0,-,-,-,-
251,Manki233,YFt7XdLGH9UQ@hydro.local,,Manki233,,0,-,-,-,-
251,yuanye,Vxt0AkBeJ9MC@hydro.local,,yuanye,,0,-,-,-,-
251,Begemot,9HMhl2Q0ikh9@hydro.local,,Begemot,,0,-,-,-,-
251,jrzhr,uVhrH3pDJg3t@hydro.local,,jrzhr,,0,-,-,-,-
251,zhanghm,Ckn1z2Yef3Ta@hydro.local,,zhanghm,,0,-,-,-,-
251,lihongru,KKZiL6VVySYk@hydro.local,,lihongru,,0,-,-,-,-
251,吾皇,0S8rbjLgua0S@hydro.local,,吾皇,,0,-,-,-,-
251,ZZQF5677,f9cQrigniLci@hydro.local,,ZZQF5677,,0,-,-,-,-
251,zza_MX,8fAquWYlz7Fg@hydro.local,,zza_MX,,0,-,-,-,-
251,ScorpioZB,hhr55JTF8tHN@hydro.local,,ScorpioZB,,0,-,-,-,-
251,David_yang,POd20zmqGCRi@hydro.local,,David_yang,,0,-,-,-,-
251,linshi77,MHhPIAMcoUAJ@hydro.local,,linshi77,,0,-,-,-,-
251,0_and_1,elgdkx9zI0Yv@hydro.local,,0_and_1,,0,-,-,-,-
251,笑熬梨花298,9PBk4bEW9zmH@hydro.local,,笑熬梨花298,,0,-,-,-,-
251,zhousw50,XAPvReUjMiYX@hydro.local,,zhousw50,,0,-,-,-,-
251,songyipeng,s8bk0vcj2yOC@hydro.local,,songyipeng,,0,-,-,-,-
251,Max_Ben_Yang,PvW0SNpDrTwE@hydro.local,,Max_Ben_Yang,,0,-,-,-,-
251,椿小姐的底裤,NEvIz9QwHW1W@hydro.local,,椿小姐的底裤,,0,-,-,-,-
251,canwen2,5o79wHxdfNsM@hydro.local,,canwen2,,0,-,-,-,-
251,imfbust,UV19ryIraEny@hydro.local,,imfbust,,0,-,-,-,-
251,Grady,mq2oSjkzopYd@hydro.local,,Grady,,0,-,-,-,-
251,moonyear,eRLEeFXgZUIK@hydro.local,,moonyear,,0,-,-,-,-
251,Qionzmoucy,Nd89g6mxJ85J@hydro.local,,Qionzmoucy,,0,-,-,-,-
251,Fourier_WJY,3pnAGIZRE4W8@hydro.local,,Fourier_WJY,,0,-,-,-,-
251,surfing,yWqZm5NTvyeW@hydro.local,,surfing,,0,-,-,-,-
251,njy0511_flydream,tHm1B35GJp8q@hydro.local,,njy0511_flydream,,0,-,-,-,-
251,sky2024,LdkgS7bqXFkT@hydro.local,,sky2024,,0,-,-,-,-
251,ltmshumiao,f6qnFJzHympf@hydro.local,,ltmshumiao,,0,-,-,-,-
251,RaymondOccam,FAZQQWX85h4X@hydro.local,,RaymondOccam,,0,-,-,-,-
251,hyp_hdu,xqM8Q4Q1HrIb@hydro.local,,hyp_hdu,,0,-,-,-,-
251,hyg,RG5fnuKs89BA@hydro.local,,hyg,,0,-,-,-,-
251,msdc123,zbxqxMVErkWT@hydro.local,,msdc123,,0,-,-,-,-
251,Tritons,AwkpRBtPRLYa@hydro.local,,Tritons,,0,-,-,-,-
251,fydj,w3tkqiVPOat2@hydro.local,,fydj,,0,-,-,-,-
251,jkq,mTLtNtWAC7on@hydro.local,,jkq,,0,-,-,-,-
251,yaowenxuan728,66Jy7wtHXMmA@hydro.local,,yaowenxuan728,,0,-,-,-,-
251,ctzm,le8g1ZxJ56X9@hydro.local,,ctzm,,0,-,-,-,-
251,Kevin_Mu,uuP3uqnLfi3P@hydro.local,,Kevin_Mu,,0,-,-,-,-
251,MX_0x3a9e57fd,dwMVXV0M58D0@hydro.local,,MX_0x3a9e57fd,,0,-,-,-,-
251,kingho,3X9UjPfBy0KW@hydro.local,,kingho,,0,-,-,-,-
251,BigYi,dJGncTIviePO@hydro.local,,BigYi,,0,-,-,-,-
251,陶德睿,mav9YB9kVTyO@hydro.local,,陶德睿,,0,-,-,-,-
